			astrocyte						neuron	
 	Time (sec)		a1	a3	a4	a5	a6		n1	n2
0	0		568.071	520.991	641.827	528.025	555.863		423.691	491.209
1	2		550.939	526.428	647.123	520.788	508.777		424.47	487.567
2	4		548.755	529.65	654.733	507.081	526.132		418.464	493.433
3	7		531.987	525.284	615.533	524.17	542.096		427.375	492.946
4	9		551.697	525.194	649.9	516.689	551.391		421.638	494.504
5	11		554.305	532.744	654.457	508.704	516.914		418.983	504.567
6	13		553.339	527.794	661.2	502.319	535.127		424.534	488.154
7	15		562.795	523.472	642.27	502.993	535.442		424.133	491.737
8	18		547.813	523.713	643.817	512.373	505.091		419.017	479.354
9	20		540.697	527.478	647.733	517.059	519.391		421.38	468.014
10	22		546.826	543.328	642.427	497.543	503.65		415.37	481.497
11	24		536.51	522.191	638.527	509.447	490.736		419.488	487.378
12	26		555.921	526.034	623.99	518.294	510.096		426.85	477.612
13	29		540.929	522.588	624.633	519.309	507.142		421.003	492.893
14	31		534.384	530.334	643.683	537.827	496.107		424.176	487.937
15	33		529.224	518.144	599.16	540.368	489.056		427.617	471.245
16	35		546.395	493.909	596.263	521.091	483.721		418.828	472.577
17	37		527.987	518.291	602.067	568.395	546.98		420.76	480.047
18	40		544.95	507.528	644.427	598.615	521.543		429.538	472.885
19	42		544.705	493.003	981.41	706.795	1042.31		429.36	472.512
20	44		569.226	515.709	1097.66	763.622	1003.523		433.849	466.817
21	46		567.018	499.216	1111.297	868.375	1072.995		435.128	476.814
22	48		538.355	494.928	1123.903	903.998	1022.091		436.125	476.558
23	51		587.629	529.266	1131.403	923.756	999.137		424.197	495.566
24	53		612.226	543.172	1156.367	972.064	1019.152		435.425	482.622
25	55		670.079	533.434	1189.177	963.086	978.665		428.946	482.493
26	57		892.005	575.616	1203.213	987.533	980.624		425.959	482.131
27	59		999.505	628.922	1258.047	959.956	906.65		437.833	486.204
28	62		1032.395	700.891	1268.003	1006.462	1082.726		444.972	495.029
29	64		1050.408	706.934	1283.18	987.205	955.655		431.513	497.214
30	66		1078.629	757.737	1309.007	952.205	919.274		431.63	489.758
31	68		1113.542	768.694	1312.74	936.393	877.447		434.749	493.579
32	70		1161.879	784.559	1337.137	938.432	844.223		427.022	494.917
33	73		1195.003	800.316	1357.41	962.961	949.614		436.038	511.524
34	75		1225.516	849.866	1353.81	927.109	1015.838		437.677	500.927
35	77		1240.221	870.053	1365.033	965.123	1041.213		433.874	496.091
36	79		1226.49	891.259	1356.78	916.97	1024.574		436.843	501.102
37	81		1224.045	873.284	1359.713	915.385	998.492		428.315	480.789
38	84		1191.813	885.525	1349.673	899.514	979.827		430.688	491.915
39	86		1221.626	886.847	1309.003	910.965	969.706		429.443	493.967
40	88		1213.061	925.956	1347.237	883.351	934.061		427.21	478.899
41	90		1202.808	898.428	1340.34	890.079	961.487		435.054	485.227
42	92		1192.555	914.8	1332.363	879.758	964.553		429.884	480.331
43	95		1189.592	926.525	1328.303	887.462	952.33		441.793	487.436
44	97		1177.129	902.209	1327.13	855.961	991.746		420.742	482.862
45	99		1182.947	905.106	1312.08	864.427	951.228		436.143	480.145
46	101		1209.403	876.209	1324.063	847.847	941.731		429.836	474.932
